 -Infinity    -Infinity    -Infinity       -1.386    -Infinity    -Infinity    -Infinity   
 -Infinity    -Infinity       -5.991       -2.878       -5.586    -Infinity    -Infinity   
 -Infinity       -7.601       -6.790       -4.370       -7.483       -6.790    -Infinity   
    -8.987       -8.687       -8.975       -5.861       -8.569       -8.687       -8.399   
   -10.297      -10.179      -10.243       -7.353      -10.807      -10.179       -9.737   
   -11.383      -11.853      -11.265       -8.845      -11.452      -12.011      -12.076   
   -13.462      -12.469      -12.874      -10.336      -14.143      -13.061      -13.061   
   -13.855      -13.924      -15.229      -11.828      -14.083      -15.752      -14.265   
   -15.128      -16.839      -14.877      -13.320      -15.980      -15.287      -17.649   
   -18.225      -15.927      -17.131      -14.811      -17.232      -17.589      -16.491   
   -17.536      -18.335      -19.193      -16.303      -18.899      -18.841      -18.639   
   -19.944      -20.397      -19.028      -17.794      -21.047      -20.508      -19.891   
   -21.601      -20.637      -20.966      -19.286      -21.606      -22.251      -22.405   
   -22.024      -22.863      -23.316      -20.778      -23.486      -22.810      -23.861   
   -24.249      -25.213      -23.738      -22.269      -24.978      -24.690      -24.419   
   -26.823      -24.942      -25.741      -23.761      -26.827      -26.587      -25.740   
   -26.329      -26.791      -28.654      -25.253      -26.761      -28.436      -27.791   
   -28.400      -29.858      -27.820      -26.744      -30.199      -28.371      -29.486   
   -31.062      -29.430      -29.422      -28.236      -31.201      -31.403      -30.268   
   -31.039      -30.626      -32.554      -29.728      -32.676      -32.810      -32.453   
   -32.012      -34.451      -32.754      -31.219      -33.762      -33.880      -34.420   
   -36.060      -33.958      -33.504      -32.711      -36.518      -35.371      -34.930   
   -35.344      -34.553      -37.604      -34.203      -35.951      -38.127      -36.575   
   -36.163      -38.808      -36.836      -35.694      -38.983      -37.561      -39.177   
   -40.012      -38.445      -37.185      -37.186      -40.300      -40.187      -39.458   
   -39.832      -39.082      -41.727      -38.678      -40.767      -41.503      -41.797   
   -40.691      -42.931      -41.323      -40.169      -43.976      -42.377      -42.553   
   -44.317      -42.373      -42.694      -41.661      -43.575      -45.585      -43.581   
   -43.759      -44.591      -46.032      -43.153      -44.890      -44.779      -47.195   
   -46.200      -47.236      -45.251      -44.644      -48.451      -46.499      -45.829   
   -48.622      -46.301      -48.203      -46.136      -46.850      -50.060      -47.703   
   -47.910      -49.407      -50.114      -47.628      -50.111      -48.460      -51.110   
   -51.016      -51.318      -49.402      -49.119      -52.926      -51.721      -49.510   
   -52.927      -50.606      -52.508      -50.611      -51.918      -54.535      -52.771   
   -51.992      -53.557      -54.930      -52.103      -53.792      -53.527      -55.739   
   -54.944      -56.827      -53.707      -53.594      -56.302      -54.996      -55.137   
   -58.436      -54.911      -56.435      -55.086      -57.544      -57.912      -56.046   
   -56.115      -58.045      -58.998      -56.578      -57.761      -58.748      -59.809   
